答卷编号,Q1_性别,Q2_您所在的城市是_省份,Q2_您所在的城市是_城市,Q2_您所在的城市是_区/县,Q3_工作年限,Q4_个人月收入,Q5_基础设施建设,"Q6_生态环境(包括城市绿化,城市景观生态文明等)",Q7_治安环境,Q8_产业发展,Q9_企业条件,Q10_职业发展,Q11_收入水平,Q12_住房条件,Q13_户籍政策,Q14_配偶就业,Q15_子女教育,Q16_生活成本,Q17_交通状态,Q18_休闲娱乐,Q19_请问您的主要职业或者毕业之后将要成为的主要职业是什么,Q20_请问你觉得济南这座城市对您是否有吸引力呢
103,男,山东省,菏泽市,曹县,6-9年,3001-5000元,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,其他,不作考虑
104,男,山东省,济南市,历城区,1年及以下,2000元及以下,比较能够,比较能够,非常能够,非常能够,比较能够,非常能够,非常能够,非常能够,一般,一般,非常能够,一般,非常能够,非常能够,技术研发人才,一般
105,女,山东省,济南市,槐荫区,2-3年,3001-5000元,非常能够,非常能够,比较能够,非常能够,非常能够,比较能够,比较能够,比较能够,非常能够,一般,非常能够,比较能够,比较能够,非常能够,管理人员,有较强的吸引力
106,男,北京市,北京市,朝阳区,1年及以下,20000元以上,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,一般,非常能够,一般,一般,不能够,比较能够,管理人员,不作考虑
107,男,山西省,晋城市,沁水县,1年及以下,3001-5000元,非常能够,比较能够,比较能够,非常能够,比较能够,非常能够,非常能够,比较能够,比较能够,非常能够,非常能够,非常能够,一般,比较能够,销售人才,有较强的吸引力
108,男,山东省,济南市,天桥区,10年及以上,20000元以上,一般,一般,比较能够,一般,一般,一般,非常能够,一般,一般,一般,一般,不能够,不能够,一般,技术研发人才,一般
109,男,山东省,菏泽市,曹县,6-9年,20000元以上,一般,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,管理人员,不二选择
110,男,广东省,广州市,天河区,1年及以下,2001-3000元,比较能够,非常能够,非常能够,比较能够,非常能够,比较能够,非常能够,一般,一般,比较能够,一般,比较能够,一般,比较能够,技术研发人才,一般
111,女,北京市,北京市,海淀区,10年及以上,3001-5000元,一般,比较能够,比较能够,比较能够,比较能够,一般,一般,一般,一般,一般,一般,一般,比较能够,比较能够,管理人员,一般
112,女,山东省,泰安市,岱岳区,1年及以下,2000元及以下,不能够,一般,一般,一般,一般,比较能够,不能够,比较能够,一般,比较能够,一般,非常能够,一般,一般,其他,不作考虑
113,女,山东省,淄博市,张店区,1年及以下,2000元及以下,非常能够,比较能够,非常能够,比较能够,比较能够,比较能够,非常能够,比较能够,比较能够,非常能够,比较能够,比较能够,非常能够,比较能够,管理人员,一般
114,男,山东省,济南市,历城区,2-3年,5001-8000元,一般,一般,一般,一般,一般,一般,一般,不能够,比较能够,比较能够,一般,一般,不能够,一般,技工人才,一般
115,男,北京市,北京市,海淀区,2-3年,5001-8000元,比较能够,比较能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,技术研发人才,一般
116,女,河南省,平顶山市,新华区,6-9年,8001-12000元,比较能够,比较能够,比较能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,医疗,不二选择
117,男,山东省,济南市,市中区,1年及以下,5001-8000元,一般,比较能够,一般,比较能够,比较能够,比较能够,比较能够,比较能够,一般,比较能够,一般,比较能够,一般,一般,销售人才,很不喜欢
118,女,山东省,济南市,天桥区,1年及以下,2000元及以下,比较能够,非常能够,非常能够,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,比较能够,管理人员,一般
119,男,天津市,天津市,红桥区,1年及以下,2000元及以下,非常能够,非常能够,非常能够,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,比较能够,比较能够,技术研发人才,一般
120,男,浙江省,嘉兴市,桐乡市,1年及以下,2000元及以下,不能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,管理人员,一般
121,男,山东省,济南市,市中区,2-3年,3001-5000元,一般,非常能够,非常能够,非常能够,比较能够,非常能够,非常能够,一般,非常能够,非常能够,非常能够,非常能够,一般,非常能够,其他,有较强的吸引力
122,男,山东省,济南市,历下区,4-5年,3001-5000元,比较能够,比较能够,比较能够,比较能够,非常能够,比较能够,非常能够,比较能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,技工人才,有较强的吸引力
123,女,山东省,济南市,天桥区,1年及以下,2000元及以下,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,管理人员,一般
124,男,山东省,济南市,市中区,1年及以下,3001-5000元,比较能够,比较能够,非常能够,非常能够,比较能够,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,比较能够,一般,比较能够,管理人员,不二选择
125,男,山东省,济南市,天桥区,2-3年,2000元及以下,不能够,不能够,一般,一般,比较能够,比较能够,比较能够,不能够,比较能够,不能够,非常能够,比较能够,不能够,比较能够,技工人才,一般
